geo_id,year,annual_total_cases,peak_week_start,peak_cases,peak_share_of_year
BAR,2021,1.0,2021-12-27,1.0,1.0
BAR,2022,3155.0,2022-10-31,405.0,0.12836767036450078
BAR,2023,38041.0,2023-09-18,2690.0,0.07071317788701664
BAR,2024,8656.0,2024-11-04,711.0,0.08213955637707948
BAR,2025,9412.0,2025-06-30,990.0,0.10518487037824055
CHA,2021,1.0,2021-12-27,1.0,1.0
CHA,2022,8974.0,2022-10-31,857.0,0.09549810563851126
CHA,2023,44413.0,2023-09-18,3101.0,0.06982189899353793
CHA,2024,15256.0,2024-11-04,1082.0,0.07092291557420032
CHA,2025,4054.0,2025-07-07,424.0,0.10458806117414898
DHA_DIV,2021,2.0,2021-12-27,2.0,1.0
DHA_DIV,2022,43036.0,2022-10-31,3942.0,0.09159773213123897
DHA_DIV,2023,169234.0,2023-08-07,10491.0,0.061991089261023195
DHA_DIV,2024,57772.0,2024-11-04,4488.0,0.07768469154607768
DHA_DIV,2025,9997.0,2025-08-04,1057.0,0.10573171951585475
DHA_METRO,2021,2.0,2021-12-27,2.0,1.0
DHA_METRO,2022,39218.0,2022-10-17,3500.0,0.08924473456066093
DHA_METRO,2023,109953.0,2023-07-24,7963.0,0.07242185297354324
DHA_METRO,2024,40099.0,2024-10-28,2947.0,0.07349310456619866
DHA_METRO,2025,6415.0,2025-08-04,662.0,0.10319563522992985
KHU,2021,0.0,2021-12-27,0.0,
KHU,2022,3350.0,2022-10-31,404.0,0.12059701492537313
KHU,2023,34713.0,2023-10-02,2508.0,0.0722495894909688
KHU,2024,9894.0,2024-11-04,889.0,0.0898524358196887
KHU,2025,1509.0,2025-08-04,182.0,0.12060967528164347
MYM,2021,0.0,2021-12-27,0.0,
MYM,2022,1020.0,2022-10-24,133.0,0.1303921568627451
MYM,2023,8268.0,2023-08-07,624.0,0.07547169811320754
MYM,2024,3056.0,2024-11-11,272.0,0.08900523560209424
MYM,2025,470.0,2025-08-04,62.0,0.13191489361702127
RAJ,2021,0.0,2021-12-27,0.0,
RAJ,2022,2111.0,2022-10-31,296.0,0.14021790620558977
RAJ,2023,19397.0,2023-10-16,1374.0,0.07083569624168685
RAJ,2024,3909.0,2024-11-18,471.0,0.1204911742133538
RAJ,2025,2073.0,2025-07-14,305.0,0.14712976362759286
RAN,2021,0.0,2021-12-27,0.0,
RAN,2022,237.0,2022-11-07,93.0,0.3924050632911392
RAN,2023,5539.0,2023-07-31,468.0,0.08449178552085214
RAN,2024,1484.0,2024-09-30,184.0,0.12398921832884097
RAN,2025,163.0,2025-07-28,39.0,0.2392638036809816
SYL,2021,0.0,2021-12-27,0.0,
SYL,2022,125.0,2022-10-17,23.0,0.184
SYL,2023,1435.0,2023-07-24,142.0,0.09895470383275261
SYL,2024,330.0,2024-11-18,38.0,0.11515151515151516
SYL,2025,74.0,2025-08-18,15.0,0.20270270270270271
