alpha,fold,MAE,RMSE
0.005,F1,27.09025548444727,75.43846939752694
0.005,F2,3.91188531737383,10.901238632925207
0.005,F3,1.8318533546401887,7.441939230477575
0.005,F4,153.59251320973624,244.7784688117607
0.005,F5,46.54665769249271,92.59315933389531
0.008,F1,27.09025548444727,75.43846939752694
0.008,F2,3.91188531737383,10.901238632925207
0.008,F3,1.8318533546401887,7.441939230477575
0.008,F4,153.59251320973624,244.7784688117607
0.008,F5,46.54665769249271,92.59315933389531
0.01,F1,27.09025548444727,75.43846939752694
0.01,F2,3.91188531737383,10.901238632925207
0.01,F3,1.8318533546401887,7.441939230477575
0.01,F4,153.59251320973624,244.7784688117607
0.01,F5,46.54665769249271,92.59315933389531
