track,horizon,model,MAE_macro,RMSE_macro
experimental,5,persistence,270.1351612670271,354.39317136791414
experimental,6,persistence,314.4797454583618,404.8249268035423
experimental,7,persistence,354.51208765611284,453.0173268011719
experimental,8,persistence,392.4899624439622,499.5248052227984
experimental,9,persistence,427.7827202303093,541.8490882233257
experimental,10,persistence,461.71339048905946,579.3692236771496
experimental,11,persistence,489.7473442903474,613.1712020352222
experimental,12,persistence,513.2653816887359,641.7420641713048
operational,1,persistence,76.04144731733831,105.1784268358031
operational,2,persistence,130.79663449742276,176.53940135806124
operational,3,persistence,182.71404686818727,242.2092978596807
operational,4,persistence,227.32039778010977,301.6347737193921
